,订单列表,股票名称,代码,市场,价格,股数,平仓日期,类型,开仓日期,卖出价格,卖出股数,持股天数,盈利次数,亏损次数,盈利,亏损,收益率%,备注
0,60000020200224buy,600000,600000,0,9.54,1000,20200228,buy,20200224,9.28,1000,4,0,1,0.0,-260.0,-2.73,买点 止损卖出
1,60000020200225buy,600000,600000,0,9.49,1000,20200309,buy,20200225,9.22,1000,13,0,1,0.0,-270.0,-2.85,买点 止损卖出
2,60000020200226buy,600000,600000,0,9.58,1000,20200311,buy,20200226,9.21,1000,14,0,1,0.0,-370.0,-3.86,买点 止损卖出
3,60000020200228sell,600000,600000,0,9.28,1000,20200228,sell,20200228,0.0,0,0,0,0,0.0,0.0,0.0,止损卖出
4,60000020200309sell,600000,600000,0,9.22,1000,20200309,sell,20200309,0.0,0,0,0,0,0.0,0.0,0.0,止损卖出
5,60000020200311sell,600000,600000,0,9.21,1000,20200311,sell,20200311,0.0,0,0,0,0,0.0,0.0,0.0,止损卖出
6,60000020200702buy,600000,600000,0,9.45,1000,20200706,buy,20200702,10.43,1000,4,1,0,980.0,0.0,10.37,买点 止盈卖出
7,60000020200703buy,600000,600000,0,9.57,1000,20200707,buy,20200703,10.36,1000,4,1,0,790.0,0.0,8.25,买点 止盈卖出
8,60000020200706sell,600000,600000,0,10.43,1000,20200706,sell,20200706,0.0,0,0,0,0,0.0,0.0,0.0,止盈卖出
9,60000020200706buy,600000,600000,0,10.43,1000,20200710,buy,20200706,9.92,1000,4,0,1,0.0,-510.0,-4.89,买点 止损卖出
10,60000020200707sell,600000,600000,0,10.36,1000,20200707,sell,20200707,0.0,0,0,0,0,0.0,0.0,0.0,止盈卖出
11,60000020200710sell,600000,600000,0,9.92,1000,20200710,sell,20200710,0.0,0,0,0,0,0.0,0.0,0.0,止损卖出
12,60000020200716buy,600000,600000,0,9.58,1000,20200901,buy,20200716,9.28,1000,47,0,1,0.0,-300.0,-3.13,买点 止损卖出
13,60000020200901sell,600000,600000,0,9.28,1000,20200901,sell,20200901,0.0,0,0,0,0,0.0,0.0,0.0,止损卖出
14,60000020201019buy,600000,600000,0,8.7,1000,20201030,buy,20201019,8.35,1000,11,0,1,0.0,-350.0,-4.02,买点 止损卖出
15,60000020201030sell,600000,600000,0,8.35,1000,20201030,sell,20201030,0.0,0,0,0,0,0.0,0.0,0.0,止损卖出
16,60000020201109buy,600000,600000,0,8.5,1000,20201123,buy,20201109,8.93,1000,14,1,0,430.0,0.0,5.06,买点 止盈卖出
17,60000020201123sell,600000,600000,0,8.93,1000,20201123,sell,20201123,0.0,0,0,0,0,0.0,0.0,0.0,止盈卖出
18,60000020201127buy,600000,600000,0,9.2,1000,20201210,buy,20201127,8.86,1000,13,0,1,0.0,-340.0,-3.7,买点 止损卖出
19,60000020201130buy,600000,600000,0,9.07,1000,20201211,buy,20201130,8.75,1000,11,0,1,0.0,-320.0,-3.53,买点 止损卖出
20,60000020201210sell,600000,600000,0,8.86,1000,20201210,sell,20201210,0.0,0,0,0,0,0.0,0.0,0.0,止损卖出
21,60000020201211sell,600000,600000,0,8.75,1000,20201211,sell,20201211,0.0,0,0,0,0,0.0,0.0,0.0,止损卖出
22,60000020210218buy,600000,600000,0,9.77,1000,20210302,buy,20210218,9.44,1000,12,0,1,0.0,-330.0,-3.38,买点 止损卖出
23,60000020210302sell,600000,600000,0,9.44,1000,20210302,sell,20210302,0.0,0,0,0,0,0.0,0.0,0.0,止损卖出
24,60000020211102buy,600000,600000,0,8.09,1000,20220307,buy,20211102,7.85,1000,125,0,1,0.0,-240.0,-2.97,买点 止损卖出
25,60000020220114buy,600000,600000,0,8.14,1000,20220308,buy,20220114,7.65,1000,53,0,1,0.0,-490.0,-6.02,买点 止损卖出
26,60000020220307sell,600000,600000,0,7.85,1000,20220307,sell,20220307,0.0,0,0,0,0,0.0,0.0,0.0,止损卖出
27,60000020220308sell,600000,600000,0,7.65,1000,20220308,sell,20220308,0.0,0,0,0,0,0.0,0.0,0.0,止损卖出
28,60000020220428buy,600000,600000,0,7.57,1000,20220715,buy,20220428,7.27,1000,78,0,1,0.0,-300.0,-3.96,买点 止损卖出
29,60000020220609buy,600000,600000,0,7.53,1000,20220715,buy,20220609,7.27,1000,36,0,1,0.0,-260.0,-3.45,买点 止损卖出
30,60000020220610buy,600000,600000,0,7.51,1000,20220729,buy,20220610,7.26,1000,49,0,1,0.0,-250.0,-3.33,买点 止损卖出
31,60000020220715sell,600000,600000,0,7.27,1000,20220715,sell,20220715,0.0,0,0,0,0,0.0,0.0,0.0,止损卖出
32,60000020220729sell,600000,600000,0,7.26,1000,20220729,sell,20220729,0.0,0,0,0,0,0.0,0.0,0.0,止损卖出
33,60000020230317buy,600000,600000,0,7.11,1000,20230317,buy,20230317,0.0,0,0,0,0,0.0,0.0,0.0,买点
34,60000020230320buy,600000,600000,0,7.13,1000,20230320,buy,20230320,0.0,0,0,0,0,0.0,0.0,0.0,买点
