,订单列表,股票名称,代码,市场,价格,股数,平仓日期,类型,开仓日期,卖出价格,卖出股数,持股天数,盈利次数,亏损次数,盈利,亏损,收益率%,备注
0,00000220220221buy,000002,000002,1,19.48,1000,20220224,buy,20220221,18.67,1000,3,0,1,0.0,-810.0,-4.16,买点 卖点
1,00000220220224sell,000002,000002,1,18.67,1000,20220224,sell,20220224,0.0,0,0,0,0,0.0,0.0,0.0,卖点
2,00000220220318buy,000002,000002,1,16.43,1000,20220418,buy,20220318,19.32,1000,31,1,0,2890.0,0.0,17.59,买点 卖点
3,00000220220418sell,000002,000002,1,19.32,1000,20220418,sell,20220418,0.0,0,0,0,0,0.0,0.0,0.0,卖点
4,00000220220816buy,000002,000002,1,15.56,1000,20220829,buy,20220816,15.57,1000,13,1,0,10.0,0.0,0.06,买点 卖点
5,00000220220829sell,000002,000002,1,15.57,1000,20220829,sell,20220829,0.0,0,0,0,0,0.0,0.0,0.0,卖点
6,00000220220831buy,000002,000002,1,16.63,1000,20220921,buy,20220831,17.56,1000,21,1,0,930.0,0.0,5.59,买点 卖点
7,00000220220921sell,000002,000002,1,17.56,1000,20220921,sell,20220921,0.0,0,0,0,0,0.0,0.0,0.0,卖点
8,00000220221111buy,000002,000002,1,15.76,1000,20221214,buy,20221111,19.25,1000,33,1,0,3490.0,0.0,22.14,买点 卖点
9,00000220221214sell,000002,000002,1,19.25,1000,20221214,sell,20221214,0.0,0,0,0,0,0.0,0.0,0.0,卖点
10,00000220230221buy,000002,000002,1,17.63,1000,20230228,buy,20230221,17.14,1000,7,0,1,0.0,-490.0,-2.78,买点 卖点
11,00000220230228sell,000002,000002,1,17.14,1000,20230228,sell,20230228,0.0,0,0,0,0,0.0,0.0,0.0,卖点
